,MANDT,MBLNR,MJAHR,VGART,BLART,BLAUM,BLDAT,BUDAT,CPUDT,CPUTM,AEDAT,USNAM,TCODE,XBLNR,BKTXT,FRATH,FRBNR,WEVER,XABLN,AWSYS,BLA2D,TCODE2,BFWMS,EXNUM,SPE_BUDAT_UHR,SPE_BUDAT_ZONE,LE_VBELN,SPE_LOGSYS,SPE_MDNUM_EWM,GTS_CUSREF_NO,KNUMV
0,400,4900133503,2021,WR,WA,PR,20210220,20210220,20210220,80151,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
1,400,4900133504,2021,WR,WA,PR,20210220,20210220,20210220,80152,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
2,400,4900133505,2021,WR,WA,PR,20210220,20210220,20210220,80235,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
3,400,4900133506,2021,WR,WA,PR,20210220,20210220,20210220,80235,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
4,400,4900133508,2021,WR,WA,PR,20210220,20210220,20210220,80431,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
5,400,4900133509,2021,WR,WA,PR,20210220,20210220,20210220,80432,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
6,400,4900133510,2021,WR,WA,PR,20210220,20210220,20210220,80625,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
7,400,4900133511,2021,WR,WA,PR,20210220,20210220,20210220,80625,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
8,400,4900133512,2021,WA,WA,PR,20210220,20210220,20210220,80751,0,DESPACHO2, , , ,0, ,2, ,CRPCLNT400, ,MB1B, , ,0, , , , , , 
9,400,4900133513,2021,WA,WA,PR,20210220,20210220,20210220,80802,0,ALMACENMP6, , , ,0, ,2, ,CRPCLNT400, ,MB1B, , ,0, , , , , , 
10,400,4900133514,2021,WR,WA,PR,20210220,20210220,20210220,81124,0,USRJOB, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
11,400,4900133515,2021,WR,WA,PR,20210220,20210220,20210220,81126,0,USRJOB, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
