,NUM_EJERC,NUM_DCMAT,COD_CL_OPERC,DSC_CL_OPERC,COD_CL_DCMAT,CL_DCREV,FCH_DCMAT,FCH_CONTB_DCMAT,NUM_DC_REF,TXT_CAB,TXT_CAB_AD,NUM_ENTREGA,NUM_DATO_COMEXT,COD_TRANSACC,USU_CREA,FCH_MODIF_DCMAT,NUM_POS_DCMAT,COD_CL_MOV,DSC_CL_MOV,COD_MAT,COD_CENTRO,COD_ALM,DSC_ALM,NUM_LOTE,COD_TIPO_STK,DSC_TIPO_STK,FLG_STK_ESP,NUM_CL_VAL,CTD_DCMAT,UM,COD_MAT_RECP,COD_CENTRO_RECP,COD_ALM_RECP,DSC_ALM_RECP,NUM_LOTE_RECP,NUM_CL_VAL_RECP,FLG_STK_ESP_RECP,NUM_COD_PROVEEDOR,NUM_COD_CLIENTE,NUM_PED_CLI,NUM_POS_PED_CLI,FLG_DEBHAB,COD_MON,IMP_MON_LOC,NUM_OC,NUM_POS_OC,NUM_EJERC_OC,FLG_ENTRG_FINAL,TXT_DET,COD_DEST_MERC,COD_SOC_CO,COD_CC,NUM_ORDEN,NUM_ACTFIJO,NUM_SUB_ACTFIJO,COD_SOC,NUM_RESERVA,NUM_POS_RESERVA,FLG_SAL_FIN_RESERVA,COD_CBENEFICIO,NUM_CTA_MAYOR,CTD_STK_ANT,IMP_STK_ANT,COD_EMPRESA
0,2021,4900139111,WR,MOVIMIENTO MCÍAS.P.NOTIFICACIÓN,WA,PR,20210223,20210223, , , , , ,COGI,USRJOB,0,3,531,ENTRADA SUBPRODUCTO,012-00175,CR01,A105,A.PP CIERRES, , ,LIBRE UTILIZACIÓN, , ,0.125,KG,-, , ,, , , , , , ,0,S,PEN,0.01, ,0,0, , , ,CREY, ,035000528761, , ,REY1,6911218,4, ,0000103201,0071221100,4142.684,326.81,1
1,2021,4900139112,WR,MOVIMIENTO MCÍAS.P.NOTIFICACIÓN,WA,PR,20210223,20210223, , , , , ,COGI,USRJOB,0,1,101,EM P.STK.PED.CLIENTE,004-24543,CR01,A105,A.PP CIERRES,0900803302, ,LIBRE UTILIZACIÓN,E, ,1600.0,ST,-, , ,, , , , , , ,0,S,PEN,704.0, ,0,0, , , ,CREY, ,035000529101, , ,REY1,0,0, ,0000103201,0071111100,120300.0,52932.0,1
2,2021,4900139113,WR,MOVIMIENTO MCÍAS.P.NOTIFICACIÓN,WA,PR,20210223,20210223, , , , , ,COGI,USRJOB,0,1,261,SM PARA ORDEN,003-00153,CR01,A105,A.PP CIERRES,0002153911, ,LIBRE UTILIZACIÓN, , ,0.253,KG,-, , ,, , , , , , ,0,H,PEN,4.32, ,0,0, , , ,CREY, ,035000529101, , ,REY1,6912184,3, ,0000103303,0071311100,1515.084,25863.88,1
3,2021,4900139113,WR,MOVIMIENTO MCÍAS.P.NOTIFICACIÓN,WA,PR,20210223,20210223, , , , , ,COGI,USRJOB,0,2,531,ENTRADA SUBPRODUCTO,012-00039,CR01,A105,A.PP CIERRES, , ,LIBRE UTILIZACIÓN, , ,0.004,KG,-, , ,, , , , , , ,0,S,PEN,0.0, ,0,0, , , ,CREY, ,035000529101, , ,REY1,6912184,5, ,0000103201,0071221100,7.968,0.0,1
4,2021,4900139113,WR,MOVIMIENTO MCÍAS.P.NOTIFICACIÓN,WA,PR,20210223,20210223, , , , , ,COGI,USRJOB,0,3,531,ENTRADA SUBPRODUCTO,012-00175,CR01,A105,A.PP CIERRES, , ,LIBRE UTILIZACIÓN, , ,0.143,KG,-, , ,, , , , , , ,0,S,PEN,0.01, ,0,0, , , ,CREY, ,035000529101, , ,REY1,6912184,4, ,0000103201,0071221100,4142.809,326.82,1
5,2021,4900139114,WR,MOVIMIENTO MCÍAS.P.NOTIFICACIÓN,WA,PR,20210223,20210223, , , , , ,COGI,USRJOB,0,1,101,EM P.STK.PED.CLIENTE,004-12195,CR01,A105,A.PP CIERRES,0900834489, ,LIBRE UTILIZACIÓN,E, ,1400.0,ST,-, , ,, , , , , , ,0,S,PEN,518.0, ,0,0, , , ,CREY, ,035000529433, , ,REY1,0,0, ,0000103201,0071111100,37988.0,14055.56,1
6,2021,4900139115,WR,MOVIMIENTO MCÍAS.P.NOTIFICACIÓN,WA,PR,20210223,20210223, , , , , ,COGI,USRJOB,0,1,261,SM ORDEN DSD.PEDCLIE,003-05035,CR01,A103,A.PP LLAVES,0900834491, ,LIBRE UTILIZACIÓN,E, ,1402.0,PZA,-, , ,, , , , , , ,0,H,PEN,86.91, ,0,0, , , ,CREY, ,035000529433, , ,REY1,6918541,2, ,0000103204,0071311100,206883.0,12824.43,1
7,2021,4900139115,WR,MOVIMIENTO MCÍAS.P.NOTIFICACIÓN,WA,PR,20210223,20210223, , , , , ,COGI,USRJOB,0,2,261,SM ORDEN DSD.PEDCLIE,003-07747,CR01,A106,A.DIENTES,0900834490, ,LIBRE UTILIZACIÓN,E, ,8.6,KG,-, , ,, , , , , , ,0,H,PEN,246.98, ,0,0, , , ,CREY, ,035000529433, , ,REY1,6918541,1, ,0000103204,0071311100,1477.251,42424.75,1
8,2021,4900139115,WR,MOVIMIENTO MCÍAS.P.NOTIFICACIÓN,WA,PR,20210223,20210223, , , , , ,COGI,USRJOB,0,3,261,SM PARA ORDEN,003-08223,CR01,A105,A.PP CIERRES,0002152104, ,LIBRE UTILIZACIÓN, , ,0.164,KG,-, , ,, , , , , , ,0,H,PEN,3.0, ,0,0, , , ,CREY, ,035000529433, , ,REY1,6918541,3, ,0000103303,0071311100,1741.289,31869.97,1
9,2021,4900139115,WR,MOVIMIENTO MCÍAS.P.NOTIFICACIÓN,WA,PR,20210223,20210223, , , , , ,COGI,USRJOB,0,4,261,SM PARA ORDEN,003-08224,CR01,A105,A.PP CIERRES,0002158743, ,LIBRE UTILIZACIÓN, , ,0.219,KG,-, , ,, , , , , , ,0,H,PEN,3.64, ,0,0, , , ,CREY, ,035000529433, , ,REY1,6918541,4, ,0000103303,0071311100,701.945,11673.84,1
